Entity,Code,Year,Large,Medium
World,OWID_WRL,1970,29,7
World,OWID_WRL,1971,14,18
World,OWID_WRL,1972,27,48
World,OWID_WRL,1973,31,28
World,OWID_WRL,1974,27,90
World,OWID_WRL,1975,20,96
World,OWID_WRL,1976,26,67
World,OWID_WRL,1977,16,70
World,OWID_WRL,1978,23,59
World,OWID_WRL,1979,32,60
World,OWID_WRL,1980,13,52
World,OWID_WRL,1981,7,54
World,OWID_WRL,1982,4,46
World,OWID_WRL,1983,13,52
World,OWID_WRL,1984,8,26
World,OWID_WRL,1985,8,33
World,OWID_WRL,1986,7,27
World,OWID_WRL,1987,11,27
World,OWID_WRL,1988,10,11
World,OWID_WRL,1989,13,32
World,OWID_WRL,1990,14,50
World,OWID_WRL,1991,7,30
World,OWID_WRL,1992,10,31
World,OWID_WRL,1993,11,31
World,OWID_WRL,1994,9,26
World,OWID_WRL,1995,3,20
World,OWID_WRL,1996,3,20
World,OWID_WRL,1997,10,28
World,OWID_WRL,1998,5,25
World,OWID_WRL,1999,5,20
World,OWID_WRL,2000,4,21
World,OWID_WRL,2001,3,18
World,OWID_WRL,2002,3,11
World,OWID_WRL,2003,4,19
World,OWID_WRL,2004,5,20
World,OWID_WRL,2005,3,22
World,OWID_WRL,2006,4,12
World,OWID_WRL,2007,3,12
World,OWID_WRL,2008,1,7
World,OWID_WRL,2009,2,7
World,OWID_WRL,2010,4,5
World,OWID_WRL,2011,1,4
World,OWID_WRL,2012,0,7
World,OWID_WRL,2013,3,5
World,OWID_WRL,2014,1,4
World,OWID_WRL,2015,2,6
World,OWID_WRL,2016,1,4
World,OWID_WRL,2017,2,4
World,OWID_WRL,2018,3,4
World,OWID_WRL,2019,1,2
World,OWID_WRL,2020,0,4
World,OWID_WRL,2021,1,5
World,OWID_WRL,2022,3,4
